"Story","Title","Result","Date","Stability","Duration (s)"
"User Management","Able to Add User Admin Role with Status Enable Successfully","PENDING","2019-01-06T01:06:13.555+08:00[Asia/Singapore]","0.0","26.87"
"User Management","Able to Filter User Credential Successfully","PENDING","2019-01-06T01:06:40.423+08:00[Asia/Singapore]","0.0","10.91"
