"Story","Title","Result","Date","Stability","Duration (s)"
"Personal Information Module","Add Employee Without Create Login Details","SUCCESS","2019-04-03T16:01:19.222+08:00[Asia/Singapore]","0.0","21.04"
"Personal Information Module","Add Employee With Create Login Details","SUCCESS","2019-04-03T16:01:40.26+08:00[Asia/Singapore]","0.0","20.5"
"User Management","Able to Filter User Credential Successfully","PENDING","2019-04-03T16:02:44.174+08:00[Asia/Singapore]","0.0","4.37"
"Login to Orange HRM","Login to the Application Successfully","SUCCESS","2019-04-03T16:02:00.984+08:00[Asia/Singapore]","0.0","8.13"
"Login to Orange HRM","Login to the Application with Invalid UserName","SUCCESS","2019-04-03T16:02:09.114+08:00[Asia/Singapore]","0.0","7.55"
"Login to Orange HRM","Login to the Application with Invalid Password","SUCCESS","2019-04-03T16:02:16.662+08:00[Asia/Singapore]","0.0","7.64"
"Login to Orange HRM","Login to the Application with Empty UserName And Empty Password","SUCCESS","2019-04-03T16:02:24.303+08:00[Asia/Singapore]","0.0","8.55"
"Logout from Orange HRM","Logout from the Portal successfully","SUCCESS","2019-04-03T16:02:33.138+08:00[Asia/Singapore]","0.0","10.84"
