"Story","Title","Result","Date","Stability","Duration (s)"
"Login to Orange HRM","Login to the Application Successfully","SUCCESS","2019-01-05T10:53:04.793+08:00[Asia/Singapore]","0.0","10.18"
"Login to Orange HRM","Login to the Application with Invalid UserName","SUCCESS","2019-01-05T10:53:14.971+08:00[Asia/Singapore]","0.0","7.25"
"Login to Orange HRM","Login to the Application with Invalid Password","SUCCESS","2019-01-05T10:53:22.226+08:00[Asia/Singapore]","0.0","7.0"
"Login to Orange HRM","Login to the Application with Empty UserName And Empty Password","SUCCESS","2019-01-05T10:53:29.224+08:00[Asia/Singapore]","0.0","8.29"
