"Story","Title","Result","Date","Stability","Duration (s)"
"User Management","Able to Add User Admin Role with Status Enable Successfully","PENDING","2019-01-06T01:06:13.555+08:00[Asia/Singapore]","0.0","26.87"
"User Management","Able to Filter User Credential Successfully","PENDING","2019-01-06T01:06:40.423+08:00[Asia/Singapore]","0.0","10.91"
"Login to Orange HRM","Login to the Application Successfully","SUCCESS","2019-01-06T01:05:16.988+08:00[Asia/Singapore]","0.0","11.54"
"Login to Orange HRM","Login to the Application with Invalid UserName","SUCCESS","2019-01-06T01:05:28.53+08:00[Asia/Singapore]","0.0","8.3"
"Login to Orange HRM","Login to the Application with Invalid Password","SUCCESS","2019-01-06T01:05:36.83+08:00[Asia/Singapore]","0.0","8.66"
"Login to Orange HRM","Login to the Application with Empty UserName And Empty Password","SUCCESS","2019-01-06T01:05:45.489+08:00[Asia/Singapore]","0.0","9.41"
"Logout from Orange HRM","Logout from the Portal successfully","SUCCESS","2019-01-06T01:06:00.889+08:00[Asia/Singapore]","0.0","12.28"
