"Story","Title","Result","Date","Stability","Duration (s)"
"Login to Orange HRM","Login to the Application Successfully","SUCCESS","2019-01-27T22:58:07.524+08:00[Asia/Singapore]","0.0","7.7"
"Login to Orange HRM","Login to the Application with Invalid UserName","SUCCESS","2019-01-27T22:58:15.23+08:00[Asia/Singapore]","0.0","7.14"
"Login to Orange HRM","Login to the Application with Invalid Password","SUCCESS","2019-01-27T22:58:22.374+08:00[Asia/Singapore]","0.0","7.24"
"Login to Orange HRM","Login to the Application with Empty UserName And Empty Password","SUCCESS","2019-01-27T22:58:29.618+08:00[Asia/Singapore]","0.0","8.35"
