"Story","Title","Result","Date","Stability","Duration (s)"
"Login to Orange HRM","Login to the Application Successfully","SUCCESS","2019-01-01T11:53:51.353+08:00[Asia/Singapore]","0.0","18.85"
"User Management","Able to Add User Admin Role with Status Enable Succesfully","PENDING","2019-01-01T11:54:36.969+08:00[Asia/Singapore]","0.0","0.02"
