"Story","Title","Result","Date","Stability","Duration (s)"
"Login to Orange HRM","Login to the Application with Invalid UserName","SUCCESS","2019-01-27T22:58:15.23+08:00[Asia/Singapore]","0.0","7.14"
"Login to Orange HRM","Login to the Application with Invalid Password","SUCCESS","2019-01-27T22:58:22.374+08:00[Asia/Singapore]","0.0","7.24"
