"Story","Title","Result","Date","Stability","Duration (s)"
"Login to Orange HRM","Login to the Application with Invalid UserName","SUCCESS","2019-01-06T01:05:28.53+08:00[Asia/Singapore]","0.0","8.3"
"Login to Orange HRM","Login to the Application with Invalid Password","SUCCESS","2019-01-06T01:05:36.83+08:00[Asia/Singapore]","0.0","8.66"
