"Story","Title","Result","Date","Stability","Duration (s)"
"Login to Orange HRM","Login to the Application Successfully","SUCCESS","2019-01-06T01:05:16.988+08:00[Asia/Singapore]","0.0","11.54"
"Login to Orange HRM","Login to the Application with Invalid UserName","SUCCESS","2019-01-06T01:05:28.53+08:00[Asia/Singapore]","0.0","8.3"
"Login to Orange HRM","Login to the Application with Invalid Password","SUCCESS","2019-01-06T01:05:36.83+08:00[Asia/Singapore]","0.0","8.66"
"Login to Orange HRM","Login to the Application with Empty UserName And Empty Password","SUCCESS","2019-01-06T01:05:45.489+08:00[Asia/Singapore]","0.0","9.41"
