"Story","Title","Result","Date","Stability","Duration (s)"
"Login to Orange HRM","Login to the Application Successfully","SUCCESS","2019-01-06T01:05:16.988+08:00[Asia/Singapore]","0.0","11.54"
"Logout from Orange HRM","Logout from the Portal successfully","SUCCESS","2019-01-06T01:06:00.889+08:00[Asia/Singapore]","0.0","12.28"
