"Story","Title","Result","Date","Stability","Duration (s)"
"Personal Information Module","Add Employee Without Create Login Details","SUCCESS","2019-04-03T17:14:11.664+08:00[Asia/Singapore]","0.0","24.62"
"Personal Information Module","Add Employee With Create Login Details","SUCCESS","2019-04-03T17:14:36.287+08:00[Asia/Singapore]","0.0","21.55"
"Personal Information Module","[Neg] Unable to Add Employee If First Name is Missing","SUCCESS","2019-04-03T17:14:57.841+08:00[Asia/Singapore]","0.0","28.51"
