"Story","Title","Result","Date","Stability","Duration (s)"
"Login to Orange HRM","Login to the Application Successfully","SUCCESS","2019-04-03T16:02:00.984+08:00[Asia/Singapore]","0.0","8.13"
"Login to Orange HRM","Login to the Application with Invalid UserName","SUCCESS","2019-04-03T16:02:09.114+08:00[Asia/Singapore]","0.0","7.55"
"Login to Orange HRM","Login to the Application with Invalid Password","SUCCESS","2019-04-03T16:02:16.662+08:00[Asia/Singapore]","0.0","7.64"
"Login to Orange HRM","Login to the Application with Empty UserName And Empty Password","SUCCESS","2019-04-03T16:02:24.303+08:00[Asia/Singapore]","0.0","8.55"
