"Story","Title","Result","Date","Stability","Duration (s)"
"Login to Orange HRM","Login to the Application Successfully","SUCCESS","2019-01-01T11:53:51.353+08:00[Asia/Singapore]","0.0","18.85"
"Login to Orange HRM","Login to the Application with Invalid UserName","SUCCESS","2019-01-01T11:54:10.204+08:00[Asia/Singapore]","0.0","9.2"
"Login to Orange HRM","Login to the Application with Invalid Password","SUCCESS","2019-01-01T11:54:19.402+08:00[Asia/Singapore]","0.0","9.12"
"Login to Orange HRM","Login to the Application with Empty UserName And Empty Password","SUCCESS","2019-01-01T11:54:28.526+08:00[Asia/Singapore]","0.0","8.44"
"User Management","Able to Add User Admin Role with Status Enable Succesfully","PENDING","2019-01-01T11:54:36.969+08:00[Asia/Singapore]","0.0","0.02"
